"product ID";name;currency;price;description;productURL;imageURL;categories;link;category;pubDate;updated;enclosure;campaignID
60e400138a57e227ec7d58bf;"1 uur bowlen bij ZERO55 in Apeldoorn!";EUR;0.00;"<p>Bij ZERO55 in Apeldoorn daag jij jouw gezelschap uit voor een potje futuristisch bowlen! De bowlingbaan heeft bijzondere effecten die je nog niet eerder hebt gezien. </p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2FZERO%20555%2Fzero55_bowlen-2-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Findoor-activiteiten%2Fbowlen-1-uur-apeldoorn-korting;/dagjes-uit/indoor-activiteiten;"Tue, 06 Jul 2021 09:02:43 GMT";2022-05-20T16:30:25+02:00;;8308
605cbbc73cb1fb0e7458a3e4;"Stabiele, complete en kwalitatieve supboard: Spinera SUP Let's Paddle 10'4!";EUR;0.00;"<p>Ben je opzoek naar een een kwaliteit sup board? Ga dan voor de Spinera SUP Let's Paddle 10'4, één van de meest kwalitatieve sup board op de markt. Het sup board is opblaasbaar en wordt geleverd in een complete set, inclusief peddel, pomp, draagtas, reparatieset en vin. Deze complete SUP-set is ideaal voor de beginnende supper. Probeer jij het deze zomer ook?</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2FLogo%2Fspinera-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fproducten%2Fhuis-tuin-en-keuken%2Fspinera-sup-korting;/producten/huis-tuin-en-keuken;"Thu, 25 Mar 2021 17:35:19 GMT";2022-05-19T16:51:51+02:00;;8308
61921f46ab74321582fe1c3e;"1 uur Quad & 2 uur 4X4 off-road rijden bij The Events Bakery!";EUR;0.00;"<p>Bij The Events Bakery mag jij plaats nemen in een echte off-road auto en een ritje maken op een quad over een pittig parcours. Leer controle te houden tijdens het rijden op ruw terrein en verover steile hellingen. </p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2FThe%20Eventsbakery%2Fsquad-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Foutdoor-activiteiten%2Fquad-off-road-the-eventsbakery-korting;/dagjes-uit/outdoor-activiteiten;"Mon, 15 Nov 2021 09:50:14 GMT";2022-04-29T09:57:23+02:00;;8308
61d43485d24d2eea3b1ef0c3;"Compleet wellnessarrangement + buitenzwembad voor 2 bij Aquabello!";EUR;0.00;"<p>Een hele dag genieten van een wellness bij Aquabello in Roeselare. Ontspan samen in een luxueuze privé sauna met een verwarmd buitenzwembad en kom helemaal tot rust.</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2FAquabello%2Faquabello-2-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fsauna%2Fwellness-arrangementen%2Fwellnessarrangement-aquabello-korting;/sauna/wellness-arrangementen;"Tue, 04 Jan 2022 12:50:29 GMT";2022-04-29T09:57:26+02:00;;8308
5fbcc2aa58523f4938adaf9f;"2 tickets voor het Nederlands Transport Museum in Nieuw Vennep!";EUR;0.00;"<p>Het Nederlands Transport museum in Nieuw-Vennep vertelt verhalen over de geschiedenis van 2.000 jaar transport in Nederland. Aan alle objecten in de tentoonstelling is een verhaal gekoppeld. </p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2Fnederlands%20transport%20museum%2Fnederlandstransportmuseum-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Fmusea%2Fnederlands-transport-museum-korting;/dagjes-uit/musea;"Tue, 24 Nov 2020 09:22:02 GMT";2022-05-11T22:09:09+02:00;;8308
61eeab107a0ed562bdbb6998;"Ontdek met 4 personen de magische Grotten van Han en het WIldpark!";EUR;0.00;"<p>Laat je betoveren door de magische Grot van Han en ga op avontuur in het Wildpark. Een onvergetelijke beleving!</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2FGrotten%20van%20Han%2Fhan-2-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Fgrotten-van-han-wildpark;/dagjes-uit;"Mon, 24 Jan 2022 14:35:12 GMT";2022-05-22T23:25:52+02:00;;8308
62591ab1750e11a076e37ab6;"50 of 63 minuten e-scooter/e-bike rijden via GO sharing!";EUR;0.00;"<p>Maak gebruik van de elektrische- scooter of fiets van GO sharing door heel Nederland! Zo bereik jij je locatie altijd gemakkelijk met de e-scooter of e-bike, maar betaal je alleen wanneer je deze gebruikt.</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2Faanbieders%2FGOsharing%2FOntwerp_zonder_titel_%2811%29.png%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Foutdoor-activiteiten%2Febike-scooter-rijden-go-sharing-korting;/dagjes-uit/outdoor-activiteiten;"Fri, 15 Apr 2022 09:11:45 GMT";2022-05-22T22:18:17+02:00;;8308
6213522f003af53d7d7b63cd;"Verblijf een midweek met 6 personen op Vakantiepark Molenwaard!";EUR;0.00;"<p>Verblijf een midweek met 6 personen in een accommodatie naar keuze op Vakantiepark Molenwaard. Bezoek de vrolijke, educatieve minishows, ga op pad met de boer en meer! Ervaar hét ultieme vakantiegevoel voor jong en oud!</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2FLogo%2Fmolenwaard-1-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fhotels%2Fvakanties%2F6p-vakantiepark-molenwaard-midweek-korting;/hotels/vakanties;"Mon, 21 Feb 2022 09:49:51 GMT";2022-05-22T16:14:56+02:00;;8308
62441d1e710fbc7d21e31809;"2 jeugd tickets voor Klimpark Warredal in België!";EUR;0.00;"<p>Hou je van avontuur en durf je het aan om op grote hoogtes hindernissen te doorstaan? Bezoek dan Klimpark in Adventure Park Warredal en beleef een spannende dag vol avontuur!</p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2FLogo%2Fwarredal-2-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Foutdoor-activiteiten%2F2-jeugd-tickets-klimpark-warredal-in-belgie-korting;/dagjes-uit/outdoor-activiteiten;"Wed, 30 Mar 2022 11:04:30 GMT";2022-04-29T09:57:24+02:00;;8308
6267af0d33319a4a52a3a7e6;"Volg samen een Gin-Tonic workshop in Papendrecht!";EUR;0.00;"<p>Bouw nu je ultieme Gin-Tonic! In deze workshop krijg je keuze uit diverse gins om je eigen Gin-Tonic te maken. Kom bij Mitra De Nieuwe Bourgondiër leren welke gins en welke tonics samen de lekkerste cocktails vormen! </p>";https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fticketveiling.imgix.net%2FLogo%20vanaf%20april%202022%2Fmitra-2-Website.jpg%3Fq%3D70%26w%3D560%26h%3D300%26fit%3Dcrop%26auto%3Dcompress%2Cformat%2Cenhance;;;https://www.ticketveiling.nl/tickets/?tt=8308_1936537_46097_&r=https%3A%2F%2Fwww.ticketveiling.nl%2Fdagjes-uit%2Fworkshops%2Fgin-tonic-workshop-papendrecht-2p-korting;/dagjes-uit/workshops;"Tue, 26 Apr 2022 10:36:29 GMT";2022-05-13T12:05:08+02:00;;8308
